,title,director,actor0,actor1,genre0,genre1,district,rate,rm
208,熊出没之雪岭熊风,丁亮 ,张伟,张秉君,喜剧,动画,中国大陆,7.3,1
209,至暴之年,J·C·尚多尔,奥斯卡·伊萨克,杰西卡·查斯坦,剧情,动作,美国,6.8,0
210,狱前教育,伊坦·柯亨,威尔·法瑞尔,凯文·哈特,喜剧,UNK,美国,6.4,0
211,不能说的夏天,王维明,徐若瑄,郭采洁,剧情,UNK,台湾,6.9,0
212,举报者,林顺礼,朴海日,柳演锡,剧情,UNK,韩国,7.3,1
213,名侦探柯南：江户川柯南失踪事件～史上最惨的两天～,山本泰一郎,高山南,林原惠美,剧情,动画,日本,6.9,0
214,延坪海战,金焕松,晋久,李玹雨,剧情,战争,韩国,6.3,0
215,骇客交锋,迈克尔·曼,克里斯·海姆斯沃斯,汤唯,剧情,动作,美国,4.0,0
216,去见瀑布,冲田修一,根岸遙子,安澤千草,剧情,UNK,日本,7.2,1
217,小野寺姐弟,西田征史,向井理,片桐入,喜剧,家庭,日本,7.5,1
218,垃圾男孩,史蒂芬·戴德利,Rickson Tevez,Eduardo Luis,喜剧,犯罪,美国,7.5,1
220,一个人的武林,陈德森,甄子丹,王宝强,动作,惊悚,中国大陆,6.2,0
221,黄飞鸿之英雄有梦,周显扬,彭于晏,井柏然,剧情,动作,中国大陆,5.3,0
222,单身男女2,杜琪峰,古天乐,杨千嬅,喜剧,爱情,香港,5.3,0
223,勃艮第公爵,彼得·斯崔克兰德,西德斯·巴比特·科努德森,Chiara D'Anna,剧情,UNK,英国,5.7,0
224,X射线营地,彼得·萨特勒,克里斯汀·斯图尔特,佩曼·莫阿迪,剧情,UNK,美国,7.0,1
225,恶魔,Will Canon,玛丽亚·贝罗,弗兰克·格里罗,惊悚,恐怖,美国,5.6,0
226,奔跑者,奥斯汀·史塔克,尼古拉斯·凯奇,康妮·尼尔森,剧情,UNK,美国,5.8,0
227,安娜贝尔,约翰·R·莱昂耐迪,安娜贝拉·沃丽丝,瓦德·霍尔顿,恐怖,UNK,美国,5.4,0
228,速度超越激情,贾森·弗莱德伯格 ,丹尼尔·博克,安德里亚·纳维多,喜剧,UNK,美国,6.6,0
229,机动战士高达 THE ORIGIN I 青瞳的卡斯巴尔,安彦良和 ,田中真弓,潘惠美,剧情,动画,日本,9.1,1
230,恶老板2,希恩·安德鲁斯,杰森·贝特曼,杰森·苏戴奇斯,喜剧,UNK,美国,6.0,0
231,德古拉元年,盖瑞·肖,卢克·伊万斯,莎拉·加顿,剧情,动作,美国,6.0,0
232,黎明的沙耶,深川栄洋,新垣结衣,大泉洋,剧情,UNK,日本,6.8,0
233,阿呆与阿瓜2,鲍比·法拉利 ,金·凯瑞,杰夫·丹尼尔斯,喜剧,UNK,美国,6.1,0
234,占水师,罗素·克劳,罗素·克劳,欧嘉·柯瑞兰寇,剧情,战争,澳大利亚,6.7,0
235,平行宇宙,Christopher Leone,杰西卡·罗德,康斯坦斯·吴,动作,科幻,美国,6.1,0
236,罪恶的编年史,白云学,孙贤周,马东锡,惊悚,UNK,韩国,6.6,0
237,永远十六岁,琳·谢尔顿,凯拉·奈特莉,科洛·莫瑞兹,喜剧,UNK,美国,6.2,0
238,青春誓约,James Kent,基特·哈灵顿,科林·摩根,剧情,传记,英国,6.8,0
239,机器纪元,加贝·伊班内兹,安东尼奥·班德拉斯,迪伦·麦克德莫特,科幻,惊悚,西班牙,6.1,0
240,第28年的甲子园,大森寿美男,中井贵一,波瑠,剧情,UNK,日本,7.2,1
241,赛琳娜,苏珊娜·比尔,詹妮弗·劳伦斯,布莱德利·库珀,剧情,UNK,美国,5.5,0
242,不速之客,亚当·温加德,丹·史蒂文斯,麦卡·梦露,动作,悬疑,美国,6.3,0
243,最好的我,迈克尔·霍夫曼,米歇尔·莫纳汉,詹姆斯·麦斯登,剧情,爱情,美国,6.7,0
244,安妮：纽约奇缘,威尔·古勒,杰米·福克斯,奎文赞妮·瓦利斯,剧情,喜剧,美国,6.3,0
245,人艰不拆,瑞卡多·米拉尼,雷欧·波瓦,宝拉·柯特莱西,喜剧,同性,意大利,7.5,1
246,我的爱我的新娘,林赞相,曹正锡,申敏儿,喜剧,爱情,韩国,6.7,0
247,我很好，谢谢，我爱你,梅兹·塔拉,Sunny Suwanmethanon,波莉雀娅·彭娜妮可,喜剧,爱情,泰国,7.3,1
248,大象之歌,Charles Binamé,布鲁斯·格林伍德,泽维尔·多兰,剧情,悬疑,加拿大,6.9,0
249,痞子英雄2：黎明升起,蔡岳勋,赵又廷,林更新,剧情,动作,中国大陆,5.4,0
